TATA MOTORS VECHILE FILE 
NAME,Discontinued,Type,Special Edition,,Mileage,Type,Colors Available,Price,Fuel Type,Transmission,Seater Number,NCAP Safety,Engine Details
Tata Nexon,No,Passenger,No,,17.0 - 21.5 kmpl,SUV,"Foliage Green, Calgary White, Flame Red, Pure Silver",?7.19 - ?13.23 Lakh,"Petrol, Diesel","Manual, Automatic",5,5 stars,"1.2L Revotron Petrol, 1.5L Revotorq Diesel"
Tata Harrier,No,Passenger,No,,14.0 - 17.0 kmpl,SUV,"Orcus White, Telesto Grey, Atlas Black",?14.39 - ?21.09 Lakh,Diesel,"Manual, Automatic",5,5 stars,2.0L Turbocharged
Tata Safari,No,Passenger,No,,14.0 - 16.0 kmpl,SUV,"Royale Blue, Tropical Mist, Daytona Grey",?15.25 - ?23.46 Lakh,Diesel,"Manual, Automatic","6,7",5 stars,2.0L Turbocharged
Tata Altroz,No,Passenger,No,,18.5 - 23.0 kmpl,Hatchback,"Victory Yellow, Flame Red, Pure Silver",?6.34 - ?10.14 Lakh,"Petrol, Diesel",Manual,5,5 stars,1.2L Revotron Petrol
Tata Tiago,No,Passenger,No,,19.0 - 23.8 kmpl,Hatchback,"High Street Gold, Midtown Grey, Downtown Red",?5.54 - ?7.95 Lakh,"Petrol, CNG","Manual, Automatic",5,4 stars,"1.2L Revotron Petrol, 1.5L Revotorq Diesel"
Tata Tigor,No,Passenger,No,,19.0 - 20.0 kmpl,Sedan,"Deep Red, Pure Silver, Arizona Blue",?6.09 - ?8.84 Lakh,"Petrol, CNG","Manual, Automatic",5,4 stars,1.2L Revotron Petrol
Tata Punch,No,Passenger,No,,18.0 - 18.9 kmpl,SUV,"Orcus White, Tropical Mist, Atomic Orange",?6.00 - ?9.54 Lakh,Petrol,"Manual, Automatic",5,5 stars,1.2L Revotron Petrol
Tata Nexon EV,No,Passenger,No,,312 km/charge,SUV,"Signature Teal Blue, Glacier White, Moonlit Silver",?13.99 - ?16.85 Lakh,Electric,Automatic,5,5 stars,Permanent Magnet Synchronous Motor 
Tata Tigor EV,No,Passenger,No,,213 km/charge,Sedan,"Egyptian Blue, Pearlescent White",?12.24 - ?13.39 Lakh,Electric,Automatic,5,4 stars,Permanent Magnet Synchronous Motor 
Tata Tiago EV,No,Passenger,No,,306 km/charge,Hatchback,"Signature Teal Blue, Daytona Grey",?8.49 - ?11.79 Lakh,Electric,Automatic,5,4 stars,Permanent Magnet Synchronous Motor 
Tata Hexa,No,Passenger,No,,14.0 - 17.6 kmpl,SUV,"Arizona Blue, Tungsten Silver, Pearl White",?13.25 - ?18.82 Lakh,Diesel,"Manual, Automatic","6,7",4 stars,2.2L VARICOR Diesel
Tata Bolt,No,Passenger,No,,17.0 - 22.0 kmpl,Hatchback,"Venetian Red, Pristine White, Sky Grey",?5.29 - ?7.87 Lakh,"Petrol, Diesel",Manual,5,4 stars,"1.2L Revotron Petrol, 1.3L Revotorq Diesel"
Tata Zest,No,Passenger,No,,17.0 - 23.0 kmpl,Sedan,"Platinum Silver, Buzz Blue, Sky Grey",?5.82 - ?9.89 Lakh,"Petrol, Diesel",Manual,5,4 stars,"1.2L Revotron Petrol, 1.3L Revotorq Diesel"
Tata Nano,Yes,Passenger,No,,23.0 - 36.0 kmpl,Hatchback,"Pearl White, Rouge Red, Damson Purple",?2.05 - ?3.10 Lakh,"Petrol, CNG","Manual, Automatic",4,3 stars,0.6L MPFI Petrol
Tata Indica,Yes,Passenger,No,,18.0 - 25.0 kmpl,Hatchback,"Jet Silver, Spanish Tan, Arctic White",?4.80 - ?6.36 Lakh,"Petrol, Diesel",Manual,5,3 stars,"1.4L NA Petrol, 1.4L Turbocharged Diesel"
